AvgRating,TotalVisits,RatingStd,UniqueAttractions,VisitModeProp_Business,VisitModeProp_Couples,VisitModeProp_Family,VisitModeProp_Friends,VisitModeProp_Solo,VisitMode_y_Couples,VisitMode_y_Family,VisitMode_y_Friends,VisitMode_y_Solo,AttractionType_Ballets,AttractionType_Beaches,AttractionType_Caverns & Caves,AttractionType_Flea & Street Markets,AttractionType_Historic Sites,AttractionType_History Museums,AttractionType_National Parks,AttractionType_Nature & Wildlife Areas,AttractionType_Neighborhoods,AttractionType_Points Of Interest & Landmarks,AttractionType_Religious Sites,AttractionType_Spas,AttractionType_Speciality Museums,AttractionType_Volcanos,AttractionType_Water Parks,AttractionType_Waterfalls,ContinentId_2,ContinentId_3,ContinentId_4,ContinentId_5,Country_freq_encoded,VisitYear,VisitMonth,IsWeekend,Rating
0.6,0.06896551724137931,0.894427190999916,0.3333333333333333,0.0,0.6,0.4,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,7,0,0.75
0.75,0.06896551724137931,1.0,0.2222222222222222,0.0,0.6,0.0,0.0,0.4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.12115969695161964,2022,7,0,1.0
1.0,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,7,0,1.0
1.0,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.08617192626618148,2022,7,0,1.0
0.75,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,7,0,0.75
1.0,0.017241379310344827,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04852949949293086,2022,7,0,1.0
1.0,0.0,0.5773502691896258,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,7,0,1.0
0.5,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.005190001789655789,2022,7,0,0.5
1.0,0.017241379310344827,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.1133150390741514,2022,7,0,1.0
0.75,0.0,0.5773502691896258,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,7,0,0.75
0.0,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,6,0,0.0
1.0,0.0,0.5773502691896258,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.26391457376364613,2022,6,0,1.0
0.9166666666666667,0.034482758620689655,0.5773502691896257,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04852949949293086,2022,6,0,0.75
0.5,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0029529320527351905,2022,6,0,0.5
1.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.010678279544234325,2022,6,0,1.0
0.875,0.017241379310344827,0.7071067811865476,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.0007755175087991409,2022,6,0,1.0
0.8333333333333333,0.034482758620689655,0.5773502691896258,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04852949949293086,2022,5,1,0.75
0.75,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.12115969695161964,2022,5,1,0.75
1.0,0.0,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.08617192626618148,2022,5,1,1.0
0.5,0.034482758620689655,1.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.027322078386923583,2022,4,0,0.25
0.75,0.0,0.5773502691896258,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.12115969695161964,2022,4,0,0.75
0.95,0.06896551724137931,0.44721359549995787,0.4444444444444445,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.08617192626618148,2021,10,0,1.0
1.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.08617192626618148,2021,11,0,1.0
